id,name,region,capacity_mw,budget_k,deadline_day,status,partner_id
P_001,Solar Field Mu,europe,8.9,2759000,411,on_hold,S_EU_033
P_002,Solar Station Rho,europe,7.3,2263000,366,active,S_EU_039
P_003,Solar Field Iota,europe,12.9,3999000,549,on_hold,S_EU_042
P_004,Solar Farm Eta,europe,13.6,4216000,282,active,S_EU_014
P_005,Solar Field Pi,europe,2.6,806000,405,at_risk,S_EU_010
P_006,Solar Field Theta,europe,23.4,7254000,432,on_hold,S_EU_004
P_007,Solar Hub Alpha,europe,0.5,155000,204,at_risk,S_EU_001
P_008,Solar Complex Delta,europe,3.3,1023000,250,on_hold,S_EU_030
P_009,Solar Park Omicron,europe,0.1,31000,487,active,S_EU_038
P_010,PV Plant Mu,europe,11.0,3410000,366,on_hold,S_EU_007
P_011,Solar Complex Xi,europe,2.7,837000,401,on_hold,S_EU_022
P_012,Solar Farm Tau,europe,24.2,7502000,360,on_hold,S_EU_001
P_013,Solar Field Tau,europe,2.8,868000,445,at_risk,S_EU_006
P_014,Solar Field Sigma,europe,29.9,9269000,369,at_risk,S_EU_023
P_015,PV Plant Mu,europe,5.1,1581000,351,delayed,S_EU_003
P_016,Solar Array Mu,europe,0.7,217000,411,at_risk,S_EU_028
P_017,Solar Station Pi,europe,21.9,6789000,354,active,S_EU_026
P_018,PV Plant Epsilon,europe,5.5,1705000,457,on_hold,S_EU_011
P_019,Solar Field Mu,europe,3.7,1147000,267,delayed,S_EU_017
P_020,Solar Hub Nu,na,21.7,6076000,481,on_hold,S_NA_024
P_021,Solar Park Omicron,na,2.5,700000,253,active,S_NA_018
P_022,Solar Station Kappa,na,3.9,1092000,347,active,S_NA_034
P_023,Solar Park Kappa,na,8.5,2380000,320,on_hold,S_NA_004
P_024,Solar Hub Rho,na,0.3,84000,329,active,S_NA_029
P_025,Solar Array Gamma,na,7.3,2044000,262,at_risk,S_NA_008
P_026,Solar Complex Delta,na,3.3,924000,260,at_risk,S_NA_020
P_027,Solar Station Xi,na,0.5,140000,368,delayed,S_NA_016
P_028,Solar Array Kappa,na,16.5,4620000,474,delayed,S_NA_031
P_029,Solar Field Omicron,na,8.2,2296000,506,at_risk,S_NA_005
P_030,Solar Hub Sigma,na,3.4,952000,297,on_hold,S_NA_034
P_031,Solar Field Beta,na,23.2,6496000,493,at_risk,S_NA_032
P_032,Solar Array Alpha,na,2.6,728000,536,on_hold,S_NA_016
P_033,Solar Hub Xi,na,16.0,4480000,357,delayed,S_NA_017
P_034,Solar Complex Eta,na,21.9,6132000,600,delayed,S_NA_025
P_035,Solar Array Theta,na,0.2,56000,452,delayed,S_NA_040
P_036,Solar Field Iota,me,1.4,350000,447,at_risk,S_ME_016
P_037,Solar Park Theta,me,11.7,2925000,366,at_risk,S_ME_007
P_038,Solar Park Xi,me,3.1,775000,200,active,S_ME_041
P_039,Solar Complex Epsilon,me,33.0,8250000,235,at_risk,S_ME_032
P_040,Solar Field Rho,me,1.6,400000,303,at_risk,S_ME_009
P_041,Solar Station Delta,me,11.1,2775000,328,active,S_ME_020
P_042,Solar Array Epsilon,me,3.0,750000,390,active,S_ME_021
P_043,Solar Farm Tau,me,11.9,2975000,371,delayed,S_ME_021
P_044,Solar Station Gamma,me,1.7,425000,364,active,S_ME_013
P_045,Solar Park Omicron,me,9.6,2400000,362,on_hold,S_ME_038
P_046,Solar Farm Tau,me,4.8,1200000,265,at_risk,S_ME_041
P_047,Solar Field Beta,me,6.9,1725000,391,on_hold,S_ME_013
